0.375662707,0.931016976
0.144008426,0.065960613
0.488199274,0.476223495
0.260937477,0.043598822
|,
0.181040217,0.68174852
0.734436512,0.294465608
0.710252591,0.860179411
0.811880772,0.824749241
|,
0.880006468,0.418260865
0.46336114,0.740782346
0.172820583,0.830306196
0.410301554,0.155326328
|,
0.628755403,0.400605013
0.114333775,0.552726417
0.263575706,0.826836363
0.124718459,0.967026829
|,
0.493379035,0.272840036
0.408797219,0.166782356
0.494450252,0.216855045
0.466608626,0.073815891
|,
0.777704783,0.743804232
0.567705651,0.079663735
0.708337118,0.654181611
0.25013938,0.327303381
|,
0.754219971,0.78755181
0.790051341,0.901538333
0.578216862,0.492482328
0.231159076,0.813345011
|,
0.827051677,0.926117327
0.086497234,0.401910442
0.417699325,0.002393128
0.203679783,0.787896311
|,
0.178624295,0.560364382
0.454636779,0.115638691
0.780741051,0.626372464
0.690544665,0.290240479
|,
0.283306445,0.16650391
0.642634609,0.613424048
0.564493577,0.523392967
0.678926262,0.751049299
|,
0.417888514,0.453925495
0.31618231,0.680484029
0.597761241,0.5897786
0.340227725,0.80658802
|,
0.737948145,0.642388589
0.699334554,0.942744002
0.459058977,0.832036404
0.02179105,0.545001697
|,
0.999771809,0.671870439
0.216171327,0.871590203
0.857887205,0.663246392
0.643144669,0.019344967
|,
0.655921998,0.566820444
0.307001694,0.293873735
0.640863478,0.524066472
0.807337512,0.699396563
|,
0.981960817,0.215688508
0.563608072,0.924347811
0.400776322,0.84789454
0.672660913,0.85463894
|,
0.202325008,0.96357221
0.893238574,0.276059973
0.784005825,0.734676316
0.353621416,0.930851484
|,
0.163394232,0.292816752
0.062640233,0.223132992
0.783117627,0.388589511
0.600167755,0.24808987
|,
0.189827922,0.753991854
0.772965548,0.766910523
0.238439478,0.707152501
0.061133207,0.836752095
|,
0.210192827,0.379211364
0.182645603,0.505800293
0.538609277,0.269495574
0.670108175,0.230353967
|,
0.031589453,0.343034778
0.050836713,0.965116968
0.805034888,0.775570627
0.220039651,0.008598094
|,
0.092634379,0.723912722
0.858260996,0.840353975
0.789949201,0.303718562
0.120849061,0.584741925
|,
0.207852327,0.591592963
0.099232537,0.053580097
0.773990059,0.295991959
0.739143278,0.049111797
|,
0.509630631,0.444517967
0.392139921,0.328167624
0.29883392,0.300977631
0.253134453,0.681710461
|,
0.130374496,0.136555609
0.626931632,0.274392302
0.412351884,0.726763866
0.648104983,0.35786989
|,
0.117815703,0.098861341
0.692458963,0.008730335
0.440971777,0.571275006
0.749939798,0.654079994
|,
0.286464299,0.910065755
0.299696032,0.400991256
0.28647202,0.033991582
0.424698669,0.588619392
|,
0.754930846,0.273700634
0.48910045,0.57148228
0.570554355,0.070308468
0.06718561,0.678418146
|,
0.515859607,0.96018944
0.268051219,0.878920882
0.287299022,0.393302973
0.2281382,0.913687921
|,
0.737591259,0.096047371
0.936754581,0.848847121
0.690413048,0.216471949
0.798296813,0.001091885
|,
0.038913816,0.342150163
0.901852214,0.984803383
0.223842712,0.314647269
0.076904208,0.55569699
|,
0.542055764,0.599671673
0.625169264,0.679106156
0.867925368,0.435042166
0.672664354,0.6751553
|,
0.084945253,0.303226001
0.077206958,0.574095117
0.112058902,0.571298669
0.581118749,0.221171483
|,
0.601294669,0.171800014
0.237668314,0.640464013
0.691595761,0.170941065
0.627821595,0.672577392
|,
0.371007099,0.845350183
0.017379392,0.828489574
0.305664269,0.367801314
0.562060158,0.977657052
|,
0.730080502,0.433394318
0.022838656,0.433006879
0.523120695,0.643339383
0.800293828,0.373224837
|,
0.543503324,0.683880065
0.751238601,0.050420431
0.033992994,0.649659922
0.378981166,0.973370307
|,
0.63970138,0.784645975
0.508316561,0.129252811
0.048261981,0.044792902
0.869553907,0.976269159
|,
0.961193087,0.933169235
0.683412373,0.444613056
0.299667093,0.426612558
0.121836955,0.697552259
|,
0.358886636,0.602012945
0.565011638,0.027712351
0.788774309,0.097120108
0.20627711,0.717677116
|,
0.368429134,0.392341276
0.909581358,0.901448912
0.446654642,0.856006838
0.727529781,0.512638152
|,
0.600708696,0.059546133
0.412611833,0.165078261
0.15575113,0.986378816
0.02218624,0.894171147
|,
0.634968864,0.971695557
0.844576666,0.849063191
0.21936738,0.83685298
0.922481592,0.337558548
|,
0.279805032,0.157298293
0.514018153,0.080035564
0.449903765,0.951926625
0.819974567,0.722791086
|,
0.303597063,0.939982086
0.853296142,0.033182348
0.680531056,0.738522488
0.118798516,0.899378145
|,
0.998278065,0.38743253
0.454382791,0.616735842
0.179580567,0.850923323
0.477620333,0.216904787
|,
0.567318134,0.665966507
0.382589725,0.757210289
0.752781575,0.876818056
0.056497948,0.041728641
|,
0.90178248,0.552470722
0.481728983,0.657299221
0.992023619,0.817448256
0.846621227,0.901533288
|,
0.465431696,0.824655233
0.846048506,0.255656077
0.141686909,0.905645633
0.788021832,0.554014208
|,
0.362561257,0.974912314
0.572913641,0.487139328
0.411831565,0.838210434
0.318933069,0.62168873
|,
0.434172529,0.177311499
0.386740497,0.307114111
0.216849544,0.39673862
0.538080862,0.748546568
